Country;Country Code;Region;Continent
Afghanistan;AFG;Southern Asia;Asia
Åland Islands;ALA;Northern Europe;Europe
Albania;ALB;Southern Europe;Europe
Algeria;DZA;Northern Africa;Africa
American Samoa;ASM;Polynesia;Oceania
Andorra;AND;Southern Europe;Europe
Angola;AGO;Sub-Saharan Africa;Africa
Anguilla;AIA;Latin America and the Caribbean;North America
Antarctica;ATA;;Antarctica
Antigua and Barbuda;ATG;Latin America and the Caribbean;North America
Argentina;ARG;Latin America and the Caribbean;South America
Armenia;ARM;Western Asia;Asia
Aruba;ABW;Latin America and the Caribbean;North America
Australia;AUS;Australia and New Zealand;Oceania
Austria;AUT;Western Europe;Europe
Azerbaijan;AZE;Western Asia;Asia
Bahamas;BHS;Latin America and the Caribbean;North America
Bahrain;BHR;Western Asia;Asia
Bangladesh;BGD;Southern Asia;Asia
Barbados;BRB;Latin America and the Caribbean;North America
Belarus;BLR;Eastern Europe;Europe
Belgium;BEL;Western Europe;Europe
Belize;BLZ;Latin America and the Caribbean;North America
Benin;BEN;Sub-Saharan Africa;Africa
Bermuda;BMU;Northern America;North America
Bhutan;BTN;Southern Asia;Asia
Bolivia (Plurinational State of);BOL;Latin America and the Caribbean;South America
Bonaire, Sint Eustatius and Saba;BES;Latin America and the Caribbean;North America
Bosnia and Herzegovina;BIH;Southern Europe;Europe
Botswana;BWA;Sub-Saharan Africa;Africa
Brazil;BRA;Latin America and the Caribbean;South America
British Indian Ocean Territory;IOT;Sub-Saharan Africa;Africa
Brunei Darussalam;BRN;South-eastern Asia;Asia
Bulgaria;BGR;Eastern Europe;Europe
Burkina Faso;BFA;Sub-Saharan Africa;Africa
Burundi;BDI;Sub-Saharan Africa;Africa
Cabo Verde;CPV;Sub-Saharan Africa;Africa
Cambodia;KHM;South-eastern Asia;Asia
Cameroon;CMR;Sub-Saharan Africa;Africa
Canada;CAN;Northern America;North America
Cayman Islands;CYM;Latin America and the Caribbean;North America
Central African Republic;CAF;Sub-Saharan Africa;Africa
Chad;TCD;Sub-Saharan Africa;Africa
Chile;CHL;Latin America and the Caribbean;South America
China;CHN;Eastern Asia;Asia
Christmas Island;CXR;Australia and New Zealand;Oceania
Cocos (Keeling) Islands;CCK;Australia and New Zealand;Oceania
Colombia;COL;Latin America and the Caribbean;South America
Comoros;COM;Sub-Saharan Africa;Africa
Congo;COG;Sub-Saharan Africa;Africa
Congo, Democratic Republic of the;COD;Sub-Saharan Africa;Africa
Cook Islands;COK;Polynesia;Oceania
Costa Rica;CRI;Latin America and the Caribbean;North America
Côte d'Ivoire;CIV;Sub-Saharan Africa;Africa
Croatia;HRV;Southern Europe;Europe
Cuba;CUB;Latin America and the Caribbean;North America
Curaçao;CUW;Latin America and the Caribbean;North America
